"sample_id","Ba_Ca_measurement","Ba_Ca_precision"
6768,0.0271,NA
6769,0.0339,NA
6770,0.0344083333333334,NA
6771,0.0290454545454545,NA
6772,0.0261999999999999,NA
6773,0.0280636363636363,NA
6774,0.0272916666666666,NA
6775,0.027,NA
6776,0.0321333333333334,NA
6777,0.0328583333333334,NA
6778,0.0272,NA
6779,0.0302,NA
6780,0.0269818181818182,NA
6781,0.02685,NA
6782,0.025,NA
6783,0.024475,NA
6784,0.0274909090909093,NA
6785,0.0239,NA
6786,0.0341,NA
6787,0.03685,NA
6788,0.0371363636363637,NA
6789,0.0346,NA
6790,0.0419,NA
6791,0.0451,NA
6792,0.0452,NA
6793,0.048,NA
6794,0.0558833333333333,NA
6795,0.04905,NA
6796,0.0486499999999999,NA
6797,0.047963636363636,NA
6798,0.052,NA
6799,0.0550727272727273,NA
6800,0.0511666666666667,NA
6801,0.051,NA
6802,0.0492,NA
6803,0.0510272727272729,NA
6804,0.04715,NA
6805,0.0430454545454545,NA
6806,0.048158333333333,NA
6807,0.0524090909090909,NA
6808,0.0505,NA
6809,0.0473,NA
6810,0.043,NA
6811,0.0447,NA
6812,0.050009090909091,NA
6813,0.0443,NA
6814,0.0520166666666662,NA
6815,0.0407666666666667,NA
6816,0.046609090909091,NA
6817,0.0460833333333332,NA
6818,0.0424272727272728,NA
6819,0.0476666666666667,NA
6820,0.044,NA
6821,0.0471583333333331,NA
6822,0.0487,NA
6823,0.0535666666666667,NA
6824,0.0453272727272728,NA
6825,0.0535,NA
6826,0.04895,NA
6827,0.0442666666666667,NA
6828,0.0488,NA
6829,0.0541,NA
6830,0.0526000000000015,NA
6831,0.048725,NA
6832,0.0514,NA
6833,0.0465,NA
6834,0.0505090909090908,NA
6835,0.04155,NA
6836,0.0372,NA
6837,0.0467,NA
6838,0.0479499999999998,NA
6839,0.0466,NA
6840,0.0456166666666672,NA
6841,0.0427,NA
6842,0.043,NA
6843,0.0425,NA
6844,0.0455666666666667,NA
6845,0.0434,NA
6846,0.0467,NA
6847,0.0501818181818184,NA
6848,0.0472,NA
6849,0.0462,NA
6850,0.0411249999999992,NA
6851,0.0422,NA
6852,0.0413000000000005,NA
6853,0.0436333333333333,NA
6854,0.0401636363636363,NA
6855,0.0435818181818177,NA
6856,0.0392,NA
6857,0.0403,NA
6858,0.0441499999999996,NA
6859,0.0414666666666667,NA
6860,0.051,NA
6861,0.0453416666666664,NA
6862,0.0392,NA
6863,0.042816666666667,NA
6864,0.0418,NA
6865,0.0412166666666666,NA
6866,0.0421,NA
6867,0.0398333333333336,NA
6868,0.0391363636363637,NA
6869,0.0412,NA
6870,0.04465,NA
6871,0.0353166666666661,NA
6872,0.037575,NA
6873,0.0393,NA
6874,0.0466,NA
6875,0.0343,NA
6876,0.0385,NA
6877,0.0342909090909095,NA
6878,0.0331636363636363,NA
6879,0.0371,NA
6880,0.0323,NA
6881,0.0332,NA
6882,0.0312,NA
6883,0.0363454545454547,NA
6884,0.0345090909090908,NA
6885,0.0344272727272727,NA
6886,0.0327,NA
6887,0.0353249999999999,NA
6888,0.0335333333333339,NA
6889,0.0394727272727273,NA
6890,0.0419,NA
6891,0.0401,NA
6892,0.0397333333333334,NA
6893,0.042925,NA
6894,0.0368250000000001,NA
6895,0.0427,NA
6896,0.0380181818181814,NA
6897,0.0397999999999999,NA
6898,0.0358545454545444,NA
6899,0.03645,NA
6900,0.0352000000000001,NA
6901,0.040675,NA
6902,0.0396,NA
6903,0.0397,NA
6904,0.0424545454545455,NA
6905,0.041525,NA
6906,0.0507,NA
6907,0.0502,NA
6908,0.0592545454545474,NA
6909,0.0496,NA
6910,0.062218181818182,NA
6911,0.0601,NA
6912,0.0647,NA
6913,0.0636,NA
6914,0.0683,NA
6915,0.0730909090909088,NA
6916,0.071,NA
6917,0.0612,NA
6918,0.0592,NA
6919,0.0688,NA
6920,0.0783,NA
6921,0.0927,NA
6922,0.0935,NA
6923,0.113263636363635,NA
6924,0.0683,NA
6925,0.0596666666666712,NA
6926,0.0748333333333306,NA
6927,0.0694,NA
6928,0.0605000000000004,NA
6929,0.0624272727272725,NA
6930,0.0698,NA
6931,0.0778416666666672,NA
6932,0.0757666666666663,NA
6933,0.0782,NA
6934,0.0698,NA
6935,0.0727749999999985,NA
6936,0.0659454545454545,NA
6937,0.0795999999999999,NA
6938,0.0636,NA
6939,0.0644,NA
6940,0.0641,NA
6941,0.0741545454545449,NA
6942,0.0717,NA
6943,0.0800636363636348,NA
6944,0.0626,NA
6945,0.0649166666666645,NA
6946,0.0666,NA
6947,0.0559727272727269,NA
6948,0.0604,NA
6949,0.0655,NA
6950,0.061475,NA
6951,0.0730181818181823,NA
6952,0.0723,NA
6953,0.0766000000000005,NA
6954,0.0681818181818179,NA
