archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature,air@surface,NAm-mt108,pages2k_NAm_2752,2730.0,45.8,-112.5,Highland Fire Outlook,https://www.ncdc.noaa.gov/paleo/study/2822,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PCEN,N/A,CE
coral,temperature,sea@surface,Ocean2kHR-PacificSuvaBagnato2005,pages2k_Ocean2kHR_142,-2.0,-16.82,179.23,"Savusavu Bay, Fiji",https://www.ncdc.noaa.gov/paleo/study/1916,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally annual,d18O,heliopora,permil,CE
tree,temperature,air@surface,Aus-MtRead.Cook.2006,pages2k_Aus_041,900.0,-41.83,145.53,Mt. Read,https://www.ncdc.noaa.gov/paleo/study/6240,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally 11 12 1 2 3 4,TRW,N/A,degC,CE
tree,temperature,air@surface,Arc-Yamalia.Briffa.2013,pages2k_Arc_100,30.0,66.8,68.0,Yamalia,https://crudata.uea.ac.uk/cru/papers/briffa2013qsr/,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally 6/7/2016; climateInterpretation_seasonality changed - was originally 6/7/2016,TRW,N/A,degC,CE
documents,temperature,air@surface,Asia-SouthChina.Wang.1998,pages2k_Asia_319,2200.0,23.0,114.0,South China,https://doi.org/10.6084/m9.figshare.c.3285353.v2,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally annual,historic,N/A,index,CE
marine sediment,temperature,sea@surface,O2kLR-MakassarStrait.Linsley.2010,pages2k_O2kLR_135,-594.0,-7.4,115.2,Makassar Strait,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/linsley2010/linsley2010.txt,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),ANA2003: Anand multi species sediment trap calibration.; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally Annual,foram Mg/Ca,N/A,degC,CE
lake sediment,temperature,air@surface,SAm-LagunaChepical.deJong.2013,pages2k_SAm_025,3050.0,-32.2667,-70.5,Laguna Chepical,https://www.ncdc.noaa.gov/paleo/study/20366,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),"RMSE 1901-2004, Boot-strapping; paleoData_variableName changed - was originally rec_temp; paleoData_proxy changed - was originally R570/R630 reflectance; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally NDJF",reflectance,N/A,degC,CE
tree,temperature,air@surface,NAm-wa081,pages2k_NAm_3436,1200.0,46.2,-122.2,Mt. St. Helens,https://www.ncdc.noaa.gov/paleo/study/2839,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,ABAM,N/A,CE
documents,temperature,air@surface,Asia-ZhejiangandF.Zhang.1980,pages2k_Asia_327,2400.0,25.0,118.0,Zhejiang and Fujian province,https://doi.org/10.6084/m9.figshare.c.3285353.v2,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,historic,N/A,index,CE
lake sediment,temperature,air@surface,Arc-SoperLakeBaf.Hughen.2000,pages2k_Arc_076,14.0,62.917,-69.883,"Soper Lake, Baffin Island, Canada",https://www.ncdc.noaa.gov/paleo/study/5465,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,varve thickness,N/A,degC,CE
glacier ice,temperature,air@condensationLevel,Ant-SiteDML07.Graf.2000,pages2k_Ant_006,2680.0,-75.58,-3.43,Site DML07,https://doi.pangaea.de/10.1594/PANGAEA.104882,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core,d18O,N/A,permil,CE
