datasetId,archiveType,dataSetName,duplicateDetails,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
ch2k_DA06MAF02_104,Coral,DA06MAF02,N/A,-6.0,-8.01669979095459,39.5,"Fungu Mrima Reef, Tanzania",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/10808,CoralHydro2k v1.0.1,"One core, this record: older part of core MAF00-01 at bimonthly resolution (1622-1722)",d18O,Diploastrea heliopora,permil,d18O,CE
ch2k_SA19PAL02_106,Coral,SA19PAL02,N/A,-10.0,5.877999782562256,-162.14199829101562,"Palmyra Island, United States Minor Outlying Islands",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/34692,CoralHydro2k v1.0.1,nan,d18O,Porites sp.,permil,d18O,CE
ch2k_SA19PAL02_108,Coral,SA19PAL02,N/A,-10.0,5.877999782562256,-162.14199829101562,"Palmyra Island, United States Minor Outlying Islands",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/34692,CoralHydro2k v1.0.1,nan,Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_CO03PAL01_110,Coral,CO03PAL01,N/A,nan,5.869999885559082,-162.1300048828125,"Palmyra Island, United States Minor Outlying Islands",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1875,CoralHydro2k v1.0.1,nan,d18O,Porites lutea,permil,d18O,CE
ch2k_ZI16ROD01_112,Coral,ZI16ROD01,N/A,-4.0,-19.67099952697754,63.42900085449219,"Rodrigues, Republic of Mauritius",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/22991,CoralHydro2k v1.0.1,"Totor Sr/Ca core top performed well in many sections, others less good, especially core top since 1988 to 2006. Cabri was much better. There is a table with likely best section in Totor in paper",Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_OS13NGP01_114,Coral,OS13NGP01,N/A,-3.0,7.406400203704834,134.435302734375,"Ngaragabel, Palau",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/16338,CoralHydro2k v1.0.1,"Multiple linear regression analyses using monthly (non-detrended) anomalies for coral and instrumental SST and SSS data for the period 1970 to 2008. For NGB core, regression equation is: d18O_anom = 0.15 (0.03)*SST + 0.36 (0.07)*SSS.n",d18O,Porites lutea,permil,d18O,CE
ch2k_CH98PIR01_116,Coral,CH98PIR01,N/A,-1.0,22.600000381469727,70.0,"Pirotan Island, Gujarat, India",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1901,CoralHydro2k v1.0.1,"slope is not calculated, reported slope from Weber and Woodhead is used of -0.24",d18O,Favia speciosa,permil,d18O,CE
ch2k_RE19GBR02_118,Coral,RE19GBR02,N/A,-2.0,-12.600000381469727,143.3000030517578,"Portland Roads, Australia",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/33732,CoralHydro2k v1.0.1,nan,d18O,Porites sp.,permil,d18O,CE
ch2k_RE19GBR02_120,Coral,RE19GBR02,N/A,-2.0,-12.600000381469727,143.3000030517578,"Portland Roads, Australia",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/33732,CoralHydro2k v1.0.1,nan,Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_MU18RED04_122,Coral,MU18RED04,N/A,-5.0,21.780000686645508,38.83000183105469,"Coral Gardens, Red Sea",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/34393,CoralHydro2k v1.0.1,"This record is a combination of high-resolution data from Murty et al. 2018 and annual data from Bryan et al. 2019. Studies are independent but were performed on the same coral core (CG). Calibration information, SST range, and analytical error provided are for high-resolution data from Murty et al. 2018.",Sr/Ca,Porites lutea,mmol/mol,SrCa,CE
ch2k_GR13MAD01_126,Coral,GR13MAD01,N/A,-1.0,-17.094999313354492,49.858001708984375,"Nosy Boraha, Madagascar (formerly Ile Sainte-Marie)",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/24477,CoralHydro2k v1.0.1,nan,Sr/Ca,Porites lutea,mmol/mol,SrCa,CE
ch2k_XI17HAI01_128,Coral,XI17HAI01,"{0: {'duplicate ID': 'ch2k_XI17HAI01_136', 'duplicate database': 'CoralHydro2k v1.0.1', 'duplicate decision': 'REMOVE', 'decision type': 'AUTO: IDENTICAL', 'operator': 'N/A', 'note': 'N/A'}}",nan,19.395000457763672,110.75299835205078,"Fengjiawan, Wenchang, China",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/34452,CoralHydro2k v1.0.1,nan,d18O,Porites lutea,permil,d18O,CE
ch2k_XI17HAI01_130,Coral,XI17HAI01,"{0: {'duplicate ID': 'ch2k_XI17HAI01_134', 'duplicate database': 'CoralHydro2k v1.0.1', 'duplicate decision': 'REMOVE', 'decision type': 'AUTO: IDENTICAL', 'operator': 'N/A', 'note': 'N/A'}}",nan,19.395000457763672,110.75299835205078,"Fengjiawan, Wenchang, China",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/34452,CoralHydro2k v1.0.1,nan,Sr/Ca,Porites lutea,mmol/mol,SrCa,CE
ch2k_DE14DTO03_140,Coral,DE14DTO03,"{0: {'duplicate ID': 'ch2k_DE14DTO01_148', 'duplicate database': 'CoralHydro2k v1.0.1', 'duplicate decision': 'REMOVE', 'decision type': 'MANUAL', 'operator': ' Operated by Lucie Luecke (LL), E-Mail ljluec1@st-andrews.ac.uk, Created on 2025-11-11 082600.242025 (UTC)', 'note': nan}}",-4.300000190734863,24.69879913330078,-82.79740142822266,"Dry Tortugas, Florida, USA",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/11935,CoralHydro2k v1.0.1,"Same colony as 08PS-A2, but different core and core top age",Sr/Ca,Siderastrea siderea,mmol/mol,SrCa,CE
ch2k_KL97DAH01_142,Coral,KL97DAH01,N/A,-4.0,15.716699600219727,39.900001525878906,"Dur-Ghella Island, Eritrea",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://doi.pangaea.de/10.1594/PANGAEA.830601,CoralHydro2k v1.0.1,nan,d18O,Porites sp.,permil,d18O,CE
ch2k_QU06RAB01_144,Coral,QU06RAB01,N/A,-8.0,-4.179999828338623,151.97999572753906,"Rabaul, East New Britain, Papua New Guinea",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/6116,CoralHydro2k v1.0.1,nan,d18O,Porites lobata,permil,d18O,CE
ch2k_QU06RAB01_146,Coral,QU06RAB01,N/A,-8.0,-4.179999828338623,151.97999572753906,"Rabaul, East New Britain, Papua New Guinea",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/6116,CoralHydro2k v1.0.1,nan,Sr/Ca,Porites lobata,mmol/mol,SrCa,CE
ch2k_KU00NIN01_150,Coral,KU00NIN01,N/A,-3.0,-21.905000686645508,113.96499633789062,"Ningaloo Reef, Australia",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1867,CoralHydro2k v1.0.1,used Gagan 1994 d18O slope,d18O,Porites lutea,permil,d18O,CE
ch2k_TU01SIA01_152,Coral,TU01SIA01,N/A,-4.0,-6.079999923706055,147.60000610351562,"Sialum, Huon Peninsula, Papua New Guinea",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1867,CoralHydro2k v1.0.1,monthly correlations not reported,d18O,Porites sp.,permil,d18O,CE
ch2k_RE19GBR01_154,Coral,RE19GBR01,N/A,-4.0,-12.5,143.52000427246094,"Eel Reef, Australia",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/33732,CoralHydro2k v1.0.1,nan,d18O,Porites sp.,permil,d18O,CE
ch2k_RE19GBR01_156,Coral,RE19GBR01,N/A,-4.0,-12.5,143.52000427246094,"Eel Reef, Australia",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/33732,CoralHydro2k v1.0.1,nan,Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_GR13MAD02_158,Coral,GR13MAD02,N/A,-0.5,-17.089000701904297,49.861000061035156,"Nosy Boraha, Madagascar (formerly Ile Sainte-Marie)",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/24477,CoralHydro2k v1.0.1,"STM4 Sr/Ca core top was too cold vs STM2, would be careful. STM2 is really good, compares well to Rodrigures core Cabri",Sr/Ca,Porites lutea,mmol/mol,SrCa,CE
ch2k_AB20MEN07_160,Coral,AB20MEN07,N/A,nan,-3.1261000633239746,100.30970001220703,"Mentawai Islands, Indonesia",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/28451,CoralHydro2k v1.0.1,Fossil Coral,d18O,Porites sp.,permil,d18O,CE
ch2k_BR19RED01_162,Coral,BR19RED01,N/A,-5.0,19.889999389648438,39.959999084472656,"Canyon, Red Sea",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/26531,CoralHydro2k v1.0.1,nan,Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_NU09FAN01_166,Coral,NU09FAN01,N/A,-11.0,3.8499999046325684,-159.35000610351562,"Tabuaeran (Fanning Island), Republic of Kiribati",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/8609,CoralHydro2k v1.0.1,Two cores were spliced at 1984 to avoid secondary aragonite,d18O,Porites sp.,permil,d18O,CE
ch2k_NU09FAN01_168,Coral,NU09FAN01,N/A,-11.0,3.8499999046325684,-159.35000610351562,"Tabuaeran (Fanning Island), Republic of Kiribati",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/8609,CoralHydro2k v1.0.1,Two cores were spliced at 1984 to avoid secondary aragonite,Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_MU18RED01_172,Coral,MU18RED01,N/A,-4.0,27.979999542236328,34.810001373291016,"Semicolon, Red Sea",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/34393,CoralHydro2k v1.0.1,nan,Sr/Ca,Porites lutea,mmol/mol,SrCa,CE
ch2k_OS14RIP01_174,Coral,OS14RIP01,N/A,-2.0,7.2708001136779785,134.38369750976562,"Rock Islands, Palau",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/16339,CoralHydro2k v1.0.1,"Multiple linear regression analyses using monthly (non-detrended) anomalies for coral and instrumental SST and SSS data for the period 1970 to 2008. For RI core, regression equation is: d18O_anom = 0.03 (0.03)*SST + 0.36 (0.05)*SSS.nn                                        n                                n                        n                n",d18O,Porites lutea,permil,d18O,CE
ch2k_DE14DTO02_176,Coral,DE14DTO02,N/A,-4.0,24.617000579833984,-82.86699676513672,"Dry Tortugas, Florida, USA",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/16217,CoralHydro2k v1.0.1,nan,Sr/Ca,Siderastrea siderea,mmol/mol,SrCa,CE
ch2k_LI04FIJ01_178,Coral,LI04FIJ01,N/A,-10.0,-16.81999969482422,179.22999572753906,"Vanua Levu, Fiji",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1003972,CoralHydro2k v1.0.1,nan,d18O,Porites lutea,permil,d18O,CE
ch2k_LI04FIJ01_180,Coral,LI04FIJ01,N/A,-10.0,-16.81999969482422,179.22999572753906,"Vanua Levu, Fiji",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/1003972,CoralHydro2k v1.0.1,nan,Sr/Ca,Porites lutea,mmol/mol,SrCa,CE
ch2k_EV18ROC01_184,Coral,EV18ROC01,"{0: {'duplicate ID': 'ch2k_EV18ROC01_186', 'duplicate database': 'CoralHydro2k v1.0.1', 'duplicate decision': 'REMOVE', 'decision type': 'AUTO: IDENTICAL', 'operator': 'N/A', 'note': 'N/A'}}",-2.0,-3.859999895095825,-33.77000045776367,"Rocas Atoll, Rio Grande do Norte, Brazil",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/34373,CoralHydro2k v1.0.1,nan,Sr/Ca,Siderastrea stellata,mmol/mol,SrCa,CE
ch2k_CA13SAP01_188,Coral,CA13SAP01,N/A,-11.800000190734863,16.128999710083008,-88.25,"Sapodilla Cayes, Belize",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/17378,CoralHydro2k v1.0.1,nan,d18O,Orbicella faveolata,permil,d18O,CE
ch2k_TU01LAI01_192,Coral,TU01LAI01,N/A,-3.0,-4.150000095367432,144.88299560546875,"Laing Island, Papua New Guinea",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1866,CoralHydro2k v1.0.1,monthly correlations not reported,d18O,Porites sp.,permil,d18O,CE
ch2k_HE13MIS01_194,Coral,HE13MIS01,N/A,nan,-10.6899995803833,152.80999755859375,"Misima Island, Papua New Guinea",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/15794,CoralHydro2k v1.0.1,Composite of two fossil cores. Data was sub-monthly and was linearly resampled to monthly.,d18O,Porites sp.,permil,d18O,CE
ch2k_HE13MIS01_196,Coral,HE13MIS01,N/A,nan,-10.6899995803833,152.80999755859375,"Misima Island, Papua New Guinea",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/15794,CoralHydro2k v1.0.1,Composite of two fossil cores. Data was sub-monthly and was linearly resampled to monthly.,Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_ZI15IMP02_200,Coral,ZI15IMP02,"{0: {'duplicate ID': 'ch2k_ZI15IMP02_202', 'duplicate database': 'CoralHydro2k v1.0.1', 'duplicate decision': 'REMOVE', 'decision type': 'AUTO: IDENTICAL', 'operator': 'N/A', 'note': 'N/A'}}",-8.0,-17.51959991455078,118.96900177001953,"Rowley Shoals, Australia",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/19239,CoralHydro2k v1.0.1,"Sr/Ca-SST recconstructed with composite plus scale method to ERSSTv3b, no regression applied",Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_PF04PBA01_204,Coral,PF04PBA01,N/A,-1.7999999523162842,-5.429999828338623,71.7699966430664,"Peros Banhos Atoll, Chagos Archipelago",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1891,CoralHydro2k v1.0.1,d18O driven by rainfall; little SST correlation,d18O,Porites lobata,permil,d18O,CE
ch2k_SA20FAN02_206,Coral,SA20FAN02,N/A,nan,3.8499999046325684,-159.35000610351562,"Tabuaeran (Fanning Island), Republic of Kiribati",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/30493,CoralHydro2k v1.0.1,Publication notes that core F4 has higher variance than contemporary cores and instrumental SST products and that this is likely due to lagoonal mixing.,d18O,Porites sp.,permil,d18O,CE
ch2k_WE09ARR01_208,Coral,WE09ARR01,N/A,nan,-16.719999313354492,146.02999877929688,"Arlington Reef, Australia",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/10425,CoralHydro2k v1.0.1,coral was primariliy analysed for Boron and paper does not discuss much about Sr/Ca and d18O even though they were analysed,d18O,Porites sp.,permil,d18O,CE
ch2k_WE09ARR01_210,Coral,WE09ARR01,N/A,nan,-16.719999313354492,146.02999877929688,"Arlington Reef, Australia",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/10425,CoralHydro2k v1.0.1,coral was primariliy analysed for Boron and paper does not discuss much about Sr/Ca and d18O even though they were analysed,Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_CO03PAL05_212,Coral,CO03PAL05,N/A,nan,5.869999885559082,-162.1300048828125,"Palmyra Island, United States Minor Outlying Islands",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1875,CoralHydro2k v1.0.1,nan,d18O,Porites lutea,permil,d18O,CE
ch2k_XU15BVI01_214,Coral,XU15BVI01,N/A,nan,18.719999313354492,-64.31670379638672,"Anegada, British Virgin Islands",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/21011,CoralHydro2k v1.0.1,nan,Sr/Ca,Pseudodiploria strigosa,mmol/mol,SrCa,CE
ch2k_HE18COC02_216,Coral,HE18COC02,N/A,-4.900000095367432,-12.095000267028809,96.88050079345703,"Cocos (Keeling) Islands, Australia",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/23390,CoralHydro2k v1.0.1,Sr/Ca regression slope error is estimated to be (+/-) 0.21 degrees C; Used the Zinke (2015) method - normalised and scaled to the s.d. SST box of the period 1961-1990; equation based on composite of 2 cores,d18O,Porites sp.,permil,d18O,CE
ch2k_HE18COC02_218,Coral,HE18COC02,N/A,-4.900000095367432,-12.095000267028809,96.88050079345703,"Cocos (Keeling) Islands, Australia",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/23390,CoralHydro2k v1.0.1,Sr/Ca regression slope error is estimated to be (+/-) 0.21 degrees C; Used the Zinke (2015) method - normalised and scaled to the s.d. SST box of the period 1961-1990; equation based on composite of 2 cores,Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_MU18NPI01_222,Coral,MU18NPI01,N/A,-5.0,-8.670000076293945,115.51000213623047,"Nusa Penida, Indonesia",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/25290,CoralHydro2k v1.0.1,NP1 and NP2 cores spliced together to get full NP record due to bioerosion in the NP1 core. Sr/Ca-SST calibrations not published because of weak relationship for both GS and NP cores.,d18O,Porites sp.,permil,d18O,CE
ch2k_MO06PED01_226,Coral,MO06PED01,N/A,-5.0,16.760000228881836,-22.889999389648438,"Pedra de Lume, Sal Island",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/6184,CoralHydro2k v1.0.1,nan,d18O,Siderastrea radians,permil,d18O,CE
