"sample_id","Sr_Ca_measurement","Sr_Ca_precision"
6768,0.112566666666667,NA
6769,0.1143,NA
6770,0.111175,NA
6771,0.102,NA
6772,0.1125,NA
6773,0.1108,NA
6774,0.10205,NA
6775,0.1108,NA
6776,0.133933333333334,NA
6777,0.1117,NA
6778,0.1117,NA
6779,0.116590909090909,NA
6780,0.120972727272727,NA
6781,0.1108,NA
6782,0.11885,NA
6783,0.11625,NA
6784,0.1108,NA
6785,0.1029,NA
6786,0.1222,NA
6787,0.1328,NA
6788,0.125054545454545,NA
6789,0.142,NA
6790,0.1512,NA
6791,0.15675,NA
6792,0.1495,NA
6793,0.1706,NA
6794,0.1715,NA
6795,0.185525,NA
6796,0.172933333333334,NA
6797,0.182299999999999,NA
6798,0.188654545454545,NA
6799,0.1732,NA
6800,0.1996,NA
6801,0.1917,NA
6802,0.1855,NA
6803,0.226,NA
6804,0.175166666666667,NA
6805,0.174799999999999,NA
6806,0.189391666666666,NA
6807,0.223481818181817,NA
6808,0.2028,NA
6809,0.1847,NA
6810,0.176263636363636,NA
6811,0.192245454545456,NA
6812,0.2058,NA
6813,0.1943,NA
6814,0.209024999999998,NA
6815,0.167333333333333,NA
6816,0.2005,NA
6817,0.171133333333333,NA
6818,0.1908,NA
6819,0.1986,NA
6820,0.196409090909091,NA
6821,0.2022,NA
6822,0.211,NA
6823,0.204566666666667,NA
6824,0.207218181818182,NA
6825,0.2102,NA
6826,0.23125,NA
6827,0.199883333333335,NA
6828,0.202875,NA
6829,0.215872727272731,NA
6830,0.224727272727272,NA
6831,0.2077,NA
6832,0.2277,NA
6833,0.2286,NA
6834,0.2093,NA
6835,0.2216,NA
6836,0.194627272727273,NA
6837,0.2506,NA
6838,0.239091666666668,NA
6839,0.2416,NA
6840,0.2524,NA
6841,0.2339,NA
6842,0.205054545454546,NA
6843,0.2251,NA
6844,0.2497,NA
6845,0.2708,NA
6846,0.2102,NA
6847,0.2655,NA
6848,0.239033333333333,NA
6849,0.226700000000002,NA
6850,0.239491666666666,NA
6851,0.236409090909091,NA
6852,0.235366666666667,NA
6853,0.25151666666667,NA
6854,0.228318181818182,NA
6855,0.24820909090909,NA
6856,0.2374,NA
6857,0.2304,NA
6858,0.2585,NA
6859,0.233,NA
6860,0.254990909090908,NA
6861,0.233975,NA
6862,0.2242,NA
6863,0.2541,NA
6864,0.2594,NA
6865,0.22845,NA
6866,0.2093,NA
6867,0.248566666666669,NA
6868,0.2157,NA
6869,0.248345454545458,NA
6870,0.28005,NA
6871,0.226116666666666,NA
