"sample_id","Mg_Ca_measurement","Mg_Ca_precision"
6768,0.175133333333333,NA
6769,0.2136,NA
6770,0.250183333333334,NA
6771,0.199545454545454,NA
6772,0.177016666666667,NA
6773,0.1696,NA
6774,0.188075,NA
6775,0.223690909090909,NA
6776,0.1612,NA
6777,0.163083333333333,NA
6778,0.1654,NA
6779,0.207572727272728,NA
6780,0.1616,NA
6781,0.1551,NA
6782,0.1504,NA
6783,0.1454,NA
6784,0.145809090909092,NA
6785,0.1409,NA
6786,0.2141,NA
6787,0.180675,NA
6788,0.1674,NA
6789,0.169499999999998,NA
6790,0.1841,NA
6791,0.147525,NA
6792,0.164245454545455,NA
6793,0.1444,NA
6794,0.157891666666666,NA
6795,0.1569,NA
6796,0.149516666666667,NA
6797,0.152781818181818,NA
6798,0.1566,NA
6799,0.1696,NA
6800,0.1501,NA
6801,0.1526,NA
6802,0.151358333333333,NA
6803,0.1453,NA
6804,0.1411,NA
6805,0.139627272727272,NA
6806,0.14015,NA
6807,0.1606,NA
6808,0.155766666666667,NA
6809,0.1526,NA
6810,0.1514,NA
6811,0.153845454545456,NA
6812,0.141627272727273,NA
6813,0.1461,NA
6814,0.152683333333333,NA
6815,0.1584,NA
6816,0.1851,NA
6817,0.2096,NA
6818,0.1531,NA
6819,0.1614,NA
6820,0.167718181818181,NA
6821,0.1619,NA
6822,0.1494,NA
6823,0.187866666666667,NA
6824,0.1294,NA
6825,0.1721,NA
6826,0.1381,NA
6827,0.149233333333333,NA
6828,0.17165,NA
6829,0.176490909090907,NA
6830,0.160345454545455,NA
6831,0.1896,NA
6832,0.1871,NA
6833,0.1584,NA
6834,0.146872727272728,NA
6835,0.156175,NA
6836,0.1821,NA
6837,0.1809,NA
6838,0.159433333333333,NA
6839,0.1321,NA
6840,0.1684,NA
6841,0.1474,NA
6842,0.1694,NA
6843,0.1631,NA
6844,0.149233333333334,NA
6845,0.1434,NA
6846,0.154316666666667,NA
6847,0.1684,NA
6848,0.1499,NA
6849,0.141672727272727,NA
6850,0.1776,NA
6851,0.166127272727273,NA
6852,0.152433333333334,NA
6853,0.161474999999998,NA
6854,0.149445454545455,NA
6855,0.1834,NA
6856,0.154472727272723,NA
6857,0.1524,NA
6858,0.1631,NA
6859,0.1516,NA
6860,0.1839,NA
6861,0.189724999999999,NA
6862,0.22332727272727,NA
6863,0.205966666666668,NA
6864,0.166736363636363,NA
6865,0.176599999999998,NA
6866,0.2313,NA
6867,0.1826,NA
6868,0.1821,NA
6869,0.206663636363637,NA
6870,0.2168,NA
6871,0.174066666666666,NA
6872,0.1864,NA
6873,0.2143,NA
6874,0.2603,NA
6875,0.2408,NA
6876,0.3068,NA
6877,0.303954545454548,NA
6878,0.311454545454544,NA
6879,0.30329166666667,NA
6880,0.2638,NA
6881,0.261166666666665,NA
6882,0.24069166666667,NA
6883,0.2628,NA
6884,0.283072727272724,NA
6885,0.298181818181815,NA
6886,0.2296,NA
6887,0.262958333333336,NA
6888,0.276633333333333,NA
6889,0.3152,NA
6890,0.353291666666663,NA
6891,0.232645454545454,NA
6892,0.2328,NA
6893,0.2408,NA
6894,0.26016666666667,NA
6895,0.257,NA
6896,0.2011,NA
6897,0.2133,NA
6898,0.2083,NA
6899,0.2491,NA
6900,0.395283333333337,NA
6901,0.319,NA
6902,0.2615,NA
6903,0.3075,NA
6904,0.310909090909087,NA
6905,0.3452,NA
6906,0.4079,NA
6907,0.4816,NA
6908,0.56639090909091,NA
6909,0.4441,NA
6910,0.590872727272727,NA
6911,0.4616,NA
6912,0.3502,NA
6913,0.755125,NA
6914,0.667899999999972,NA
6915,0.793145454545434,NA
6916,0.4966,NA
6917,0.597890909090907,NA
6918,0.6747,NA
6919,0.5121,NA
6920,0.57125833333334,NA
6921,0.498990909090902,NA
6922,0.5363,NA
6923,0.8406,NA
6924,0.9188,NA
6925,0.540533333333299,NA
6926,0.740800000000012,NA
6927,0.717783333333328,NA
6928,0.765263636363632,NA
6929,0.6607,NA
6930,0.777881818181807,NA
6931,1.04320000000002,NA
6932,0.606399999999955,NA
6933,0.705699999999971,NA
6934,0.5611,NA
6935,0.615041666666692,NA
6936,0.613118181818182,NA
6937,0.641950000000016,NA
6938,0.5669,NA
6939,0.630616666666666,NA
6940,0.6427,NA
6941,0.682454545454542,NA
6942,0.762463636363634,NA
6943,0.911527272727247,NA
6944,0.8915,NA
6945,0.839433333333332,NA
6946,0.7584,NA
6947,0.509072727272729,NA
6948,0.5268,NA
6949,1.2193,NA
6950,0.89555,NA
6951,0.620190909090932,NA
6952,0.5832,NA
6953,0.641545454545449,NA
6954,0.644736363636358,NA
6955,1.0192,NA
6956,0.5576,NA
6957,0.933033333333331,NA
6958,0.8493,NA
6959,0.835799999999979,NA
6960,0.733990909090901,NA
6961,0.7202,NA
6962,0.620618181818183,NA
6963,0.485966666666667,NA
6964,0.4666,NA
6965,0.612041666666673,NA
6966,0.478863636363642,NA
6967,0.498349999999996,NA
6968,0.6545,NA
6969,0.59,NA
6970,0.5436,NA
6971,0.4901,NA
6972,0.5531,NA
6973,0.5041,NA
6974,0.496490909090909,NA
6976,0.262618181818182,NA
6977,0.17910833333334,NA
6978,0.161058333333333,NA
6979,0.1599,NA
6980,0.160236363636362,NA
6981,0.143391666666666,NA
6982,0.1654,NA
6983,0.192663636363636,NA
6984,0.1504,NA
6985,0.1996,NA
6986,0.23240833333333,NA
6987,0.271666666666667,NA
6988,0.214572727272729,NA
6989,0.1951,NA
6990,0.238736363636363,NA
6991,0.204349999999996,NA
6992,0.1933,NA
6993,0.207808333333335,NA
6994,0.2481,NA
6995,0.217418181818181,NA
6996,0.2453,NA
6997,0.212572727272731,NA
6998,0.33635,NA
6999,0.2625,NA
7000,0.2795,NA
7001,0.2321,NA
7002,0.3,NA
7003,0.3113,NA
7004,0.300875,NA
7005,0.3187,NA
7006,0.30015,NA
7007,0.2605,NA
7008,0.19935,NA
7009,0.1893,NA
7010,0.2058,NA
7011,0.244458333333328,NA
7012,0.254625,NA
7013,0.224883333333331,NA
7014,0.223327272727282,NA
7015,0.473900000000005,NA
7016,0.2608,NA
7017,0.2053,NA
7018,0.3187,NA
7019,0.2578,NA
7020,0.290318181818179,NA
7021,0.431566666666663,NA
7022,0.4027,NA
7023,0.3824,NA
7024,0.501266666666652,NA
7025,0.398266666666657,NA
7026,0.289250000000008,NA
7027,0.501527272727274,NA
7028,0.351900000000006,NA
7029,0.4169,NA
7030,0.3617,NA
7031,0.337475000000001,NA
7032,0.373200000000003,NA
7033,0.301009090909094,NA
7034,0.380741666666655,NA
7035,0.4114,NA
7036,0.34766666666667,NA
7037,0.341136363636357,NA
7038,0.387283333333337,NA
7039,0.4469,NA
7040,0.4362,NA
7041,0.455672727272728,NA
7042,0.3155,NA
7043,0.336,NA
7044,0.316450000000002,NA
7045,0.3732,NA
7046,0.308400000000001,NA
7047,0.4049,NA
7048,0.587390909090907,NA
7049,0.5828,NA
7050,0.612318181818189,NA
7051,0.598,NA
7052,0.500827272727259,NA
7053,0.5376,NA
7054,0.7941,NA
7055,0.5231,NA
7056,0.829966666666661,NA
7057,0.68695,NA
7058,0.6807,NA
7059,0.6025,NA
7060,0.95,NA
7061,0.7092,NA
7062,0.935766666666612,NA
7063,0.6375,NA
7064,0.9005,NA
7065,0.7624,NA
7066,0.6105,NA
7067,1.3577,NA
7068,1.22775833333328,NA
7069,0.670066666666669,NA
7070,0.807000000000052,NA
7071,0.6954,NA
7072,0.705627272727279,NA
7073,0.659563636363605,NA
7074,0.7049,NA
7075,0.579425000000008,NA
7076,0.63770000000001,NA
7077,0.5253,NA
7078,0.5166,NA
7079,0.14693333333333,NA
7081,0.228754545454564,NA
7082,0.5503,NA
7083,0.307100000000022,NA
7084,0.329336363636365,NA
7085,0.3854,NA
7086,0.39533333333333,NA
7087,0.4167,NA
7088,0.4327,NA
7089,0.4491,NA
7090,0.462581818181816,NA
7091,0.471309090909083,NA
7092,0.479774999999989,NA
7093,0.5208,NA
7094,0.4806,NA
7095,0.554936363636364,NA
7096,0.494354545454532,NA
